//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Classification
440495.36999084,4464181.52000610,11.76000023,249,255,0,2.000000,29.000000,373109.343750,1.000000
440494.93999817,4464181.14000122,11.98999977,255,250,0,2.000000,11.000000,373109.843750,1.000000
440496.10000183,4464176.62001221,12.10000038,255,246,0,2.000000,27.000000,373110.031250,1.000000
440500.60999634,4464177.09001343,9.39000034,148,255,0,2.000000,13.000000,373110.250000,1.000000
440501.18999817,4464178.37999146,9.53999996,154,255,0,2.000000,29.000000,373110.437500,1.000000
440496.63999512,4464180.42000000,10.97000027,215,255,0,2.000000,25.000000,373110.625000,1.000000
440495.27000000,4464181.71000854,11.89000034,255,255,0,2.000000,7.000000,373110.843750,1.000000
440499.68999817,4464181.58000366,9.48999977,151,255,0,2.000000,25.000000,373111.031250,1.000000
440498.50999023,4464181.69999878,10.14000034,180,255,0,2.000000,23.000000,373111.250000,1.000000
440494.79999878,4464182.08000366,12.02999973,255,249,0,2.000000,3.000000,373111.437500,1.000000
440500.10999634,4464180.67000000,9.40999985,148,255,0,2.000000,23.000000,373111.625000,1.000000
440500.86999084,4464178.89000122,9.97000027,172,255,0,2.000000,23.000000,373111.843750,1.000000
440499.67998840,4464181.68000977,9.43999958,149,255,0,2.000000,3.000000,373112.437500,1.000000
440496.85000183,4464175.06001465,11.60000038,242,255,0,2.000000,17.000000,373112.531250,1.000000
440500.20998718,4464176.68998901,10.68999958,203,255,0,2.000000,3.000000,373112.750000,1.000000
440501.04999878,4464175.62999146,9.01000023,131,255,0,2.000000,3.000000,373112.937500,1.000000
440496.93999817,4464174.65001099,9.72999954,162,255,0,2.000000,30.000000,373113.156250,1.000000
440500.99999573,4464179.03999512,9.89000034,169,255,0,2.000000,1.000000,373113.343750,1.000000
440494.60999634,4464177.62999146,11.14000034,222,255,0,2.000000,26.000000,373113.531250,1.000000
440500.28998901,4464174.71000854,10.93999958,214,255,0,2.000000,14.000000,373113.750000,1.000000
440494.77999451,4464176.68000977,10.61999989,200,255,0,2.000000,8.000000,373114.156250,1.000000
440494.74999573,4464181.80000488,9.92000008,170,255,0,2.000000,22.000000,373114.437500,1.000000
440494.99999573,4464177.62001221,11.61999989,243,255,0,2.000000,4.000000,373115.031250,1.000000
440497.91999390,4464175.43998901,11.35000038,231,255,0,2.000000,22.000000,373115.250000,1.000000
440498.29999878,4464175.46000854,9.84000015,166,255,0,2.000000,20.000000,373115.843750,1.000000
440500.83999207,4464176.59999268,9.31999969,145,255,0,2.000000,4.000000,373116.156250,1.000000
440501.25999023,4464174.83000366,10.85999966,210,255,0,3.000000,13.000000,373164.062500,1.000000
440501.05999329,4464175.90001099,11.31000042,230,255,0,3.000000,25.000000,373165.187500,1.000000
440496.74000122,4464180.89000122,11.55000019,240,255,0,3.000000,27.000000,373165.375000,1.000000
440499.54999878,4464175.87001221,9.76000023,163,255,0,3.000000,23.000000,373165.781250,1.000000
440501.79999878,4464174.84001343,10.92000008,213,255,0,3.000000,3.000000,373166.187500,1.000000
440501.43999817,4464177.99998657,9.22999954,140,255,0,3.000000,17.000000,373166.468750,1.000000
440497.86999084,4464181.90001099,11.14999962,223,255,0,3.000000,3.000000,373166.781250,1.000000
440498.08999207,4464183.59999268,8.93999958,128,255,0,3.000000,1.000000,373167.187500,1.000000
440494.86999084,4464178.99000732,12.05000019,255,248,0,3.000000,3.000000,373167.468750,1.000000
440495.56998779,4464176.90999023,10.55000019,197,255,0,3.000000,17.000000,373167.875000,1.000000
440496.24999573,4464179.77998535,11.21000004,225,255,0,3.000000,30.000000,373168.187500,1.000000
440495.72999146,4464177.53999512,11.59000015,242,255,0,3.000000,12.000000,373168.687500,1.000000
440495.80999329,4464177.22999756,10.51000023,195,255,0,3.000000,8.000000,373169.687500,1.000000
440495.24000122,4464175.78999512,11.78999996,250,255,0,3.000000,4.000000,373170.875000,1.000000
440494.74000122,4464174.65001099,11.25000000,227,255,0,3.000000,0.000000,373172.093750,1.000000
